# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale
photonCatScalesCorr=MaterialCentral_scale,MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
HighR9EB_13TeVscale           0.001051     0.01684     0.0005403    
HighR9EE_13TeVscale           7.244e-06     0.0001315     8.116e-05    
LowR9EB_13TeVscale            0.0001414     0.002198     0.0004152    
LowR9EE_13TeVscale            4.52e-06     1.814e-07     5.653e-07    
HighR9EBPhi_13TeVsmear        6.626e-05     0.2443     0.0005531    
HighR9EBRho_13TeVsmear        2.84e-06     0.0222     0.00046    
HighR9EEPhi_13TeVsmear        2.726e-05     0.003353     0.002233    
HighR9EERho_13TeVsmear        4.649e-06     0.0002112     9.616e-05    
LowR9EBPhi_13TeVsmear         2.281e-05     0.02332     0.001354    
LowR9EBRho_13TeVsmear         8.114e-06     0.005026     0.0001323    
LowR9EEPhi_13TeVsmear         4.52e-06     1.814e-07     5.653e-07    
LowR9EERho_13TeVsmear         4.52e-06     1.814e-07     5.653e-07    
MaterialCentral_scale         0.0004584     0.005586     0.0001839    
MaterialForward_scale         1.454e-05     0.0004327     0.0003195    

diphotonCat=0
proc=vbf
HighR9EB_13TeVscale           0.001024     0.01097     0.0004108    
HighR9EE_13TeVscale           1.125e-05     0.0004297     0.0002101    
LowR9EB_13TeVscale            0.000145     0.0005806     0.001069    
LowR9EE_13TeVscale            1.338e-06     9.703e-07     8.03e-07    
HighR9EBPhi_13TeVsmear        3.134e-05     0.262     0.002702    
HighR9EBRho_13TeVsmear        8.027e-06     0.02121     0.0006314    
HighR9EEPhi_13TeVsmear        3.098e-05     0.001704     0.0008404    
HighR9EERho_13TeVsmear        1.196e-05     0.0002182     0.0001247    
LowR9EBPhi_13TeVsmear         2.215e-07     0.03279     0.001297    
LowR9EBRho_13TeVsmear         1.446e-05     0.005353     0.0002649    
LowR9EEPhi_13TeVsmear         1.338e-06     9.703e-07     8.03e-07    
LowR9EERho_13TeVsmear         1.338e-06     9.703e-07     8.03e-07    
MaterialCentral_scale         0.0004446     0.004237     0.0002256    
MaterialForward_scale         9.983e-06     0.0005992     0.0004953    

diphotonCat=0
proc=tth
HighR9EB_13TeVscale           0.0011     0.02961     0.0004309    
HighR9EE_13TeVscale           5.81e-05     0.001559     0.0009437    
LowR9EB_13TeVscale            7.473e-05     0.008991     0.001286    
LowR9EE_13TeVscale            3.785e-05     2.15e-07     1.887e-07    
HighR9EBPhi_13TeVsmear        4.541e-06     0.2031     0.002236    
HighR9EBRho_13TeVsmear        4.951e-05     0.04531     0.001488    
HighR9EEPhi_13TeVsmear        0.0002468     0.00491     0.001404    
HighR9EERho_13TeVsmear        0.0001503     0.0009689     0.0004864    
LowR9EBPhi_13TeVsmear         0.0001649     0.03529     0.002332    
LowR9EBRho_13TeVsmear         3.907e-05     0.007573     0.000982    
LowR9EEPhi_13TeVsmear         3.785e-05     2.15e-07     1.887e-07    
LowR9EERho_13TeVsmear         3.785e-05     2.15e-07     1.887e-07    
MaterialCentral_scale         0.0004215     0.008436     0.00216    
MaterialForward_scale         0.0001627     0.003648     0.001622    


diphotonCat=1
proc=ggh
HighR9EB_13TeVscale           0.001035     0.00961     0.002754    
HighR9EE_13TeVscale           4.021e-05     0.003184     0.001366    
LowR9EB_13TeVscale            0.000238     0.009004     0.000841    
LowR9EE_13TeVscale            2.335e-05     1.617e-07     2.997e-07    
HighR9EBPhi_13TeVsmear        0.0004503     0.2431     0.001335    
HighR9EBRho_13TeVsmear        2.457e-05     0.0375     0.0006286    
HighR9EEPhi_13TeVsmear        3.433e-05     0.01369     0.008009    
HighR9EERho_13TeVsmear        4.978e-05     0.002148     0.0004768    
LowR9EBPhi_13TeVsmear         1.615e-05     0.06719     0.0005717    
LowR9EBRho_13TeVsmear         1.716e-05     0.009654     0.001026    
LowR9EEPhi_13TeVsmear         2.335e-05     1.617e-07     2.997e-07    
LowR9EERho_13TeVsmear         2.335e-05     1.617e-07     2.997e-07    
MaterialCentral_scale         0.0004423     0.009179     0.0006983    
MaterialForward_scale         7.848e-05     0.006872     0.003089    

diphotonCat=1
proc=vbf
HighR9EB_13TeVscale           0.001101     0.02629     0.001638    
HighR9EE_13TeVscale           4.605e-05     0.001242     0.0006205    
LowR9EB_13TeVscale            0.0002432     0.00868     0.0008954    
LowR9EE_13TeVscale            3.953e-05     3.009e-07     8.407e-08    
HighR9EBPhi_13TeVsmear        0.0001301     0.2167     0.001232    
HighR9EBRho_13TeVsmear        3.008e-05     0.02639     0.001322    
HighR9EEPhi_13TeVsmear        3.571e-05     0.01085     0.0057    
HighR9EERho_13TeVsmear        1.701e-05     0.003135     0.00166    
